forecast_week,warehouse_id,product_id,product_name,forecast_units,selected_model,model_accuracy
2027-01-04,WH09,P02401,Silverpine Series 2 Water Flosser,93.75,Moving Average,66.87
2027-01-11,WH09,P02401,Silverpine Series 2 Water Flosser,98.19,Moving Average,66.87
2027-01-18,WH09,P02401,Silverpine Series 2 Water Flosser,100.98,Moving Average,66.87
2027-01-25,WH09,P02401,Silverpine Series 2 Water Flosser,89.23,Moving Average,66.87
2027-02-01,WH09,P02401,Silverpine Series 2 Water Flosser,95.54,Moving Average,66.87
2027-02-08,WH09,P02401,Silverpine Series 2 Water Flosser,95.99,Moving Average,66.87
2027-02-15,WH09,P02401,Silverpine Series 2 Water Flosser,95.43,Moving Average,66.87
2027-02-22,WH09,P02401,Silverpine Series 2 Water Flosser,94.05,Moving Average,66.87
2027-01-04,WH03,P02401,Silverpine Series 2 Water Flosser,87.58,Random Forest,82.46
2027-01-11,WH03,P02401,Silverpine Series 2 Water Flosser,69.28,Random Forest,82.46
2027-01-18,WH03,P02401,Silverpine Series 2 Water Flosser,72.5,Random Forest,82.46
2027-01-25,WH03,P02401,Silverpine Series 2 Water Flosser,70.68,Random Forest,82.46
2027-02-01,WH03,P02401,Silverpine Series 2 Water Flosser,68.59,Random Forest,82.46
2027-02-08,WH03,P02401,Silverpine Series 2 Water Flosser,65.97,Random Forest,82.46
2027-02-15,WH03,P02401,Silverpine Series 2 Water Flosser,65.23,Random Forest,82.46
2027-02-22,WH03,P02401,Silverpine Series 2 Water Flosser,68.43,Random Forest,82.46
2027-01-04,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-01-11,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-01-18,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-01-25,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-02-01,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-02-08,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-02-15,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-02-22,WH04,P02401,Silverpine Series 2 Water Flosser,65.14,Exponential Smoothing,58.15
2027-01-04,WH01,P02401,Silverpine Series 2 Water Flosser,69.25,Moving Average,74.6
2027-01-11,WH01,P02401,Silverpine Series 2 Water Flosser,70.06,Moving Average,74.6
2027-01-18,WH01,P02401,Silverpine Series 2 Water Flosser,72.58,Moving Average,74.6
2027-01-25,WH01,P02401,Silverpine Series 2 Water Flosser,65.72,Moving Average,74.6
2027-02-01,WH01,P02401,Silverpine Series 2 Water Flosser,69.4,Moving Average,74.6
2027-02-08,WH01,P02401,Silverpine Series 2 Water Flosser,69.44,Moving Average,74.6
2027-02-15,WH01,P02401,Silverpine Series 2 Water Flosser,69.29,Moving Average,74.6
2027-02-22,WH01,P02401,Silverpine Series 2 Water Flosser,68.46,Moving Average,74.6
2027-01-04,WH02,P02401,Silverpine Series 2 Water Flosser,77.5,Moving Average,68.52
2027-01-11,WH02,P02401,Silverpine Series 2 Water Flosser,79.62,Moving Average,68.52
2027-01-18,WH02,P02401,Silverpine Series 2 Water Flosser,69.28,Moving Average,68.52
2027-01-25,WH02,P02401,Silverpine Series 2 Water Flosser,67.85,Moving Average,68.52
2027-02-01,WH02,P02401,Silverpine Series 2 Water Flosser,73.56,Moving Average,68.52
2027-02-08,WH02,P02401,Silverpine Series 2 Water Flosser,72.58,Moving Average,68.52
2027-02-15,WH02,P02401,Silverpine Series 2 Water Flosser,70.82,Moving Average,68.52
2027-02-22,WH02,P02401,Silverpine Series 2 Water Flosser,71.2,Moving Average,68.52
2027-01-04,WH05,P02401,Silverpine Series 2 Water Flosser,64.24,Random Forest,85.31
