warehouse_id,product_id,model,mae,rmse,mape,forecast_accuracy,best_model
WH09,P02401,Moving Average,32.66,40.83,33.13,66.87,1
WH09,P02401,Exponential Smoothing,35.94,45.69,36.12,63.88,0
WH09,P02401,Random Forest,38.33,42.99,41.66,58.34,0
WH03,P02401,Moving Average,15.5,18.53,22.02,77.98,0
WH03,P02401,Exponential Smoothing,16.49,19.41,22.73,77.27,0
WH03,P02401,Random Forest,12.97,15.96,17.54,82.46,1
WH04,P02401,Moving Average,26.12,32.29,42.37,57.63,0
WH04,P02401,Exponential Smoothing,24.92,31.34,41.85,58.15,1
WH04,P02401,Random Forest,26.0,30.5,45.55,54.45,0
WH01,P02401,Moving Average,16.88,20.0,25.4,74.6,1
WH01,P02401,Exponential Smoothing,17.76,21.03,27.35,72.65,0
WH01,P02401,Random Forest,26.07,29.01,47.19,52.81,0
WH02,P02401,Moving Average,22.16,25.62,31.48,68.52,1
WH02,P02401,Exponential Smoothing,23.5,27.25,33.29,66.71,0
WH02,P02401,Random Forest,24.32,27.06,33.76,66.24,0
WH05,P02401,Moving Average,12.12,18.2,19.84,80.16,0
WH05,P02401,Exponential Smoothing,13.76,19.0,21.09,78.91,0
WH05,P02401,Random Forest,10.29,16.45,14.69,85.31,1
WH06,P02401,Moving Average,15.88,18.96,23.51,76.49,0
WH06,P02401,Exponential Smoothing,16.27,19.91,23.9,76.1,0
WH06,P02401,Random Forest,12.85,16.03,17.7,82.3,1
WH10,P02401,Moving Average,23.72,29.57,69.96,30.04,0
WH10,P02401,Exponential Smoothing,24.02,29.34,71.64,28.36,0
WH10,P02401,Random Forest,22.35,27.13,68.31,31.69,1
WH08,P02401,Moving Average,12.41,14.09,34.94,65.06,0
WH08,P02401,Exponential Smoothing,10.79,12.1,29.85,70.15,1
WH08,P02401,Random Forest,11.05,12.88,28.04,71.96,0
WH12,P02401,Moving Average,15.22,17.87,89.74,10.26,0
WH12,P02401,Exponential Smoothing,14.09,16.75,86.08,13.92,1
WH12,P02401,Random Forest,16.1,20.05,103.44,0.0,0
WH11,P02401,Moving Average,16.06,21.95,44.21,55.79,1
WH11,P02401,Exponential Smoothing,16.91,23.25,46.03,53.97,0
WH11,P02401,Random Forest,16.69,23.59,47.37,52.63,0
WH09,P04119,Moving Average,4.91,6.11,29.18,70.82,0
WH09,P04119,Exponential Smoothing,5.02,6.34,30.13,69.87,0
WH09,P04119,Random Forest,4.87,6.08,31.9,68.1,1
WH02,P04119,Moving Average,11.56,13.49,48.02,51.98,0
WH02,P04119,Exponential Smoothing,10.29,12.17,41.11,58.89,0
WH02,P04119,Random Forest,8.31,10.03,42.73,57.27,1
WH03,P04119,Moving Average,8.44,9.5,127.21,0.0,0
WH03,P04119,Exponential Smoothing,9.1,9.94,132.33,0.0,0
WH03,P04119,Random Forest,6.28,8.53,106.22,0.0,1
WH01,P04119,Moving Average,3.59,4.37,35.39,64.61,1
WH01,P04119,Exponential Smoothing,3.73,4.43,35.8,64.2,0
WH01,P04119,Random Forest,4.27,4.8,41.23,58.77,0
WH07,P02401,Moving Average,6.47,7.59,37.77,62.23,0
WH07,P02401,Exponential Smoothing,5.74,7.08,30.59,69.41,1
WH07,P02401,Random Forest,6.57,8.97,49.39,50.61,0
WH05,P04119,Moving Average,8.88,10.28,117.44,0.0,0
WH05,P04119,Exponential Smoothing,8.99,10.13,112.7,0.0,0
WH05,P04119,Random Forest,7.99,9.09,101.46,0.0,1
WH04,P04119,Moving Average,6.09,7.01,67.8,32.2,1
WH04,P04119,Exponential Smoothing,6.11,7.02,67.63,32.37,0
WH04,P04119,Random Forest,7.58,8.99,89.24,10.76,0
WH06,P04119,Moving Average,7.09,9.72,42.21,57.79,1
WH06,P04119,Exponential Smoothing,7.51,9.83,47.2,52.8,0
WH06,P04119,Random Forest,7.61,9.55,49.18,50.82,0
WH02,P04614,Moving Average,6.03,6.54,181.95,0.0,0
WH02,P04614,Exponential Smoothing,6.14,6.46,166.05,0.0,0
WH02,P04614,Random Forest,5.87,7.83,140.84,0.0,1
WH09,P01155,Moving Average,4.62,5.1,69.46,30.54,0
WH09,P01155,Exponential Smoothing,4.26,4.95,61.49,38.51,1
WH09,P01155,Random Forest,4.98,6.03,60.58,39.42,0
WH08,P04119,Moving Average,7.19,10.31,116.26,0.0,0
WH08,P04119,Exponential Smoothing,5.89,9.11,81.88,18.12,0
WH08,P04119,Random Forest,5.15,7.7,54.0,46.0,1
WH12,P04119,Moving Average,6.62,8.31,74.84,25.16,0
WH12,P04119,Exponential Smoothing,6.21,7.94,67.01,32.99,1
WH12,P04119,Random Forest,6.25,8.44,94.46,5.54,0
WH09,P03618,Moving Average,3.59,5.12,47.18,52.82,1
WH09,P03618,Exponential Smoothing,3.74,5.3,52.18,47.82,0
WH09,P03618,Random Forest,5.51,6.59,104.31,0.0,0
WH10,P04119,Moving Average,5.84,7.45,118.67,0.0,0
WH10,P04119,Exponential Smoothing,5.72,7.33,103.31,0.0,0
WH10,P04119,Random Forest,5.53,7.24,90.54,9.46,1
WH09,P04614,Moving Average,4.81,5.51,76.79,23.21,0
WH09,P04614,Exponential Smoothing,4.72,5.44,76.64,23.36,0
WH09,P04614,Random Forest,4.49,5.17,68.03,31.97,1
WH04,P03618,Moving Average,4.78,5.48,159.15,0.0,0
WH04,P03618,Exponential Smoothing,4.39,5.55,160.77,0.0,1
WH04,P03618,Random Forest,4.66,5.56,123.55,0.0,0
WH09,P02102,Moving Average,3.78,4.59,50.18,49.82,0
WH09,P02102,Exponential Smoothing,3.59,4.53,42.94,57.06,1
WH09,P02102,Random Forest,4.63,5.15,80.51,19.49,0
WH09,P04967,Moving Average,4.69,5.94,43.18,56.82,0
WH09,P04967,Exponential Smoothing,4.49,5.45,40.82,59.18,1
WH09,P04967,Random Forest,7.4,8.37,56.79,43.21,0
WH11,P04119,Moving Average,4.94,6.92,179.46,0.0,1
WH11,P04119,Exponential Smoothing,5.09,6.69,171.85,0.0,0
WH11,P04119,Random Forest,5.15,7.04,106.14,0.0,0
WH09,P02418,Moving Average,3.72,4.56,129.22,0.0,0
WH09,P02418,Exponential Smoothing,3.16,4.11,104.9,0.0,1
WH09,P02418,Random Forest,4.71,5.28,171.68,0.0,0
WH01,P03618,Moving Average,3.81,4.47,71.77,28.23,0
WH01,P03618,Exponential Smoothing,3.69,4.2,69.14,30.86,1
WH01,P03618,Random Forest,4.02,4.42,55.24,44.76,0
WH04,P02102,Moving Average,5.34,7.21,85.68,14.32,0
WH04,P02102,Exponential Smoothing,5.5,7.32,88.12,11.88,0
WH04,P02102,Random Forest,4.47,7.06,54.48,45.52,1
WH09,P02143,Moving Average,4.78,5.4,49.0,51.0,0
WH09,P02143,Exponential Smoothing,4.75,5.5,39.17,60.83,1
WH09,P02143,Random Forest,4.89,6.7,72.95,27.05,0
WH02,P03618,Moving Average,4.38,5.35,111.23,0.0,0
WH02,P03618,Exponential Smoothing,4.32,5.14,108.05,0.0,0
WH02,P03618,Random Forest,4.05,5.06,132.7,0.0,1
WH01,P01155,Moving Average,3.31,3.91,38.18,61.82,1
WH01,P01155,Exponential Smoothing,3.45,4.07,36.85,63.15,0
WH01,P01155,Random Forest,4.63,5.82,42.83,57.17,0
WH09,P01034,Moving Average,7.25,8.58,181.58,0.0,0
WH09,P01034,Exponential Smoothing,7.08,8.47,168.52,0.0,0
WH09,P01034,Random Forest,6.18,7.66,91.89,8.11,1
WH01,P02102,Moving Average,3.72,4.37,39.02,60.98,1
WH01,P02102,Exponential Smoothing,4.14,4.85,55.81,44.19,0
WH01,P02102,Random Forest,4.39,4.67,85.55,14.45,0
WH03,P04614,Moving Average,7.41,11.34,80.04,19.96,0
WH03,P04614,Exponential Smoothing,7.43,11.54,80.5,19.5,0
WH03,P04614,Random Forest,7.19,11.75,75.13,24.87,1
WH03,P03618,Moving Average,2.72,3.33,129.45,0.0,1
WH03,P03618,Exponential Smoothing,2.84,3.57,135.78,0.0,0
WH03,P03618,Random Forest,3.1,3.63,152.73,0.0,0
WH05,P03618,Moving Average,7.34,7.68,113.07,0.0,0
WH05,P03618,Exponential Smoothing,7.28,7.7,103.68,0.0,0
