forecast_date,warehouse_id,product_id,forecast_horizon_days,forecast_demand_units,actual_demand_units,forecast_lower_bound,forecast_upper_bound,forecast_error,mape,forecast_accuracy
2025-09-26,WH06,P03521,30,0,0,0,0,0,0.0,100.0
2026-02-14,WH02,P00464,14,9,11,0,19,2,18.18,81.82
2025-05-30,WH04,P04171,14,2,2,0,4,0,0.0,100.0
2026-05-14,WH06,P04897,14,11,3,1,21,-8,266.67,0.0
2026-09-07,WH01,P02432,30,6,7,0,16,1,14.29,85.71
2026-06-28,WH11,P04324,60,27,219,0,70,192,87.67,12.33
2025-04-27,WH03,P01760,60,0,39,0,0,39,100.0,0.0
2026-09-11,WH06,P03608,14,6,6,0,13,0,0.0,100.0
2025-01-28,WH02,P03849,7,0,1,0,0,1,100.0,0.0
2025-12-22,WH12,P00526,14,4,16,0,9,12,75.0,25.0
2025-11-29,WH09,P02380,14,2,3,0,4,1,33.33,66.67
2026-09-14,WH07,P03889,60,10,4,0,26,-6,150.0,0.0
2025-10-04,WH05,P01299,60,16,10,0,42,-6,60.0,40.0
2026-09-05,WH04,P02314,14,11,0,0,24,-11,,
2026-05-10,WH03,P01727,60,10,3,0,26,-7,233.33,0.0
2026-05-28,WH09,P01996,30,1,2,0,3,1,50.0,50.0
2026-08-03,WH12,P04561,7,31,26,0,65,-5,19.23,80.77
2025-02-19,WH10,P03580,60,26,17,0,68,-9,52.94,47.06
2026-07-08,WH07,P01579,14,2,2,0,4,0,0.0,100.0
2025-01-17,WH02,P02895,30,0,11,0,0,11,100.0,0.0
2026-03-18,WH09,P02220,60,34,11,0,88,-23,209.09,0.0
2026-07-01,WH11,P04682,7,7,7,4,10,0,0.0,100.0
2026-01-07,WH04,P02479,30,10,11,0,26,1,9.09,90.91
2025-10-22,WH09,P04069,60,0,0,0,0,0,0.0,100.0
2026-07-04,WH10,P01462,7,2,1,0,4,-1,100.0,0.0
2025-11-21,WH04,P04969,30,4,9,0,10,5,55.56,44.44
2025-05-09,WH11,P00695,14,1,0,0,2,-1,,
