snapshot_date,product_id,product_name,warehouse_id,ABC_class,current_inventory,current_inventory_value,average_daily_demand,forecast_daily_demand,planning_daily_demand,demand_variability,standard_lead_time_days,safety_stock,reorder_point,eoq,stockout_risk,overstock_risk,recommended_order_quantity,transfer_from_warehouse,inventory_action
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH01,C,8,52.88,0.0,0.0,0.0,0.19,32,1.0,1.0,12.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH02,C,8,52.88,0.02,0.02,0.02,0.6,32,2.0,3.0,23.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH03,C,8,52.88,0.05,0.05,0.05,0.8,32,3.0,5.0,37.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH04,C,13,85.93,0.04,0.04,0.04,0.6,32,2.0,3.0,32.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH05,C,3,19.83,0.01,0.01,0.01,0.58,32,2.0,2.0,20.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH06,C,3,19.83,0.02,0.02,0.02,0.14,32,0.0,1.0,23.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH07,C,5,33.05,0.01,0.01,0.01,0.14,32,0.0,0.0,20.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH08,C,3,19.83,0.02,0.02,0.02,0.4,32,1.0,2.0,21.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH09,C,0,0.0,0.03,0.03,0.03,0.48,32,2.0,3.0,30.0,Critical,Low,30.0,WH04,TRANSFER STOCK
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH10,C,5,33.05,0.03,0.03,0.03,0.36,32,1.0,2.0,29.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH11,C,2,13.22,0.0,0.0,0.0,0.91,32,3.0,3.0,0.0,Medium,High,1.0,WH04,REORDER SOON
2026-12-28,P00001,Timbercrest X200 Stock Pot,WH12,C,4,26.44,0.01,0.01,0.01,0.46,32,2.0,2.0,15.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH01,A,10,854.5,0.05,0.05,0.05,0.61,52,3.0,6.0,11.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH02,A,30,2563.5,0.06,0.06,0.06,1.47,52,7.0,10.0,11.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH03,A,3,256.35,0.02,0.02,0.02,0.24,52,1.0,2.0,6.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH04,A,18,1538.1,0.08,0.08,0.08,1.32,52,6.0,10.0,13.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH05,A,4,341.8,0.04,0.04,0.04,0.27,52,1.0,3.0,9.0,Low,Medium,0.0,WH02,MONITOR
2026-12-28,P00002,Harborlight Elite Comforter,WH06,A,0,0.0,0.02,0.02,0.02,0.96,52,4.0,5.0,7.0,Critical,Low,7.0,WH02,TRANSFER STOCK
2026-12-28,P00002,Harborlight Elite Comforter,WH07,A,3,256.35,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH08,A,9,769.05,0.05,0.05,0.05,0.97,52,4.0,6.0,10.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH09,A,14,1196.3,0.04,0.04,0.04,0.75,52,3.0,5.0,9.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH10,A,10,854.5,0.02,0.02,0.02,1.03,52,5.0,6.0,6.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH11,A,22,1879.9,0.03,0.03,0.03,1.15,52,5.0,6.0,8.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00002,Harborlight Elite Comforter,WH12,A,3,256.35,0.03,0.03,0.03,0.34,52,2.0,4.0,8.0,Medium,Medium,8.0,WH02,REORDER SOON
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH01,A,5,48.8,0.13,0.13,0.13,0.33,49,1.0,8.0,50.0,High,Low,50.0,WH11,TRANSFER STOCK
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH02,A,18,175.68,0.08,0.08,0.08,1.12,49,5.0,9.0,38.0,Low,High,0.0,WH11,REDUCE INVENTORY
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH03,A,2,19.52,0.09,0.09,0.09,0.24,49,1.0,5.0,41.0,High,Low,41.0,WH11,TRANSFER STOCK
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH04,A,6,58.56,0.06,0.06,0.06,1.15,49,5.0,8.0,33.0,Medium,Medium,33.0,WH11,REORDER SOON
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH05,A,2,19.52,0.07,0.07,0.07,0.58,49,3.0,6.0,36.0,High,Low,36.0,WH11,TRANSFER STOCK
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH06,A,5,48.8,0.08,0.08,0.08,0.45,49,2.0,6.0,38.0,Medium,Low,38.0,WH11,REORDER SOON
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH07,A,5,48.8,0.04,0.04,0.04,0.85,49,4.0,6.0,26.0,Medium,High,26.0,WH11,REORDER SOON
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH08,A,4,39.04,0.04,0.04,0.04,1.24,49,5.0,7.0,26.0,Medium,Medium,26.0,WH11,REORDER SOON
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH09,A,0,0.0,0.09,0.09,0.09,0.84,49,4.0,9.0,42.0,Critical,Low,42.0,WH11,TRANSFER STOCK
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH10,A,4,39.04,0.08,0.08,0.08,0.24,49,1.0,5.0,39.0,High,Low,39.0,WH11,TRANSFER STOCK
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH11,A,57,556.32,0.06,0.06,0.06,1.91,49,8.0,11.0,34.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00003,Ostrom Advanced Styling Cream,WH12,A,14,136.64,0.07,0.07,0.07,1.54,49,7.0,10.0,35.0,Low,High,0.0,WH11,REDUCE INVENTORY
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH01,B,4,20.04,0.1,0.1,0.1,0.79,3,1.0,1.0,61.0,Low,Low,0.0,WH02,HOLD
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH02,B,27,135.27,0.05,0.05,0.05,1.02,3,1.0,1.0,41.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH03,B,3,15.03,0.04,0.04,0.04,0.89,3,1.0,1.0,40.0,Low,Low,0.0,WH02,HOLD
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH04,B,3,15.03,0.05,0.05,0.05,0.27,3,0.0,0.0,42.0,Low,Low,0.0,WH02,HOLD
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH05,B,13,65.13,0.02,0.02,0.02,0.92,3,1.0,1.0,26.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH06,B,12,60.12,0.1,0.1,0.1,1.26,3,1.0,1.0,61.0,Low,Medium,0.0,WH02,MONITOR
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH07,B,4,20.04,0.0,0.0,0.0,0.72,3,1.0,1.0,13.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH08,B,4,20.04,0.06,0.06,0.06,0.67,3,1.0,1.0,46.0,Low,Low,0.0,WH02,HOLD
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH09,B,5,25.05,0.11,0.11,0.11,0.67,3,1.0,1.0,63.0,Low,Low,0.0,WH02,HOLD
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH10,B,4,20.04,0.05,0.05,0.05,0.48,3,1.0,1.0,41.0,Low,Low,0.0,WH02,HOLD
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH11,B,6,30.06,0.02,0.02,0.02,0.95,3,1.0,1.0,24.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00004,Willowbrook Deluxe Shelving Unit,WH12,B,11,55.11,0.03,0.03,0.03,1.55,3,2.0,2.0,33.0,Low,High,0.0,WH02,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH01,A,4,116.96,0.03,0.03,0.03,0.27,15,1.0,1.0,14.0,Low,High,0.0,WH06,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH02,A,3,87.72,0.04,0.04,0.04,0.51,15,1.0,2.0,16.0,Low,Low,0.0,WH06,HOLD
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH03,A,2,58.48,0.04,0.04,0.04,0.34,15,1.0,2.0,17.0,Medium,Low,17.0,WH06,REORDER SOON
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH04,A,9,263.16,0.04,0.04,0.04,1.68,15,4.0,5.0,15.0,Low,High,0.0,WH06,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH05,A,3,87.72,0.05,0.05,0.05,0.41,15,1.0,2.0,18.0,Low,Low,0.0,WH06,HOLD
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH06,A,30,877.2,0.05,0.05,0.05,1.06,15,3.0,4.0,17.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH07,A,5,146.2,0.04,0.04,0.04,0.19,15,0.0,1.0,15.0,Low,High,0.0,WH06,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH08,A,3,87.72,0.01,0.01,0.01,0.0,15,0.0,0.0,9.0,Low,High,0.0,WH06,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH09,A,14,409.36,0.07,0.07,0.07,1.69,15,4.0,5.0,21.0,Low,High,0.0,WH06,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH10,A,2,58.48,0.01,0.01,0.01,0.34,15,1.0,1.0,7.0,Low,High,0.0,WH06,REDUCE INVENTORY
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH11,A,1,29.24,0.0,0.0,0.0,0.66,15,2.0,2.0,4.0,Medium,High,4.0,WH06,REORDER SOON
2026-12-28,P00005,Sunneva Max Sleep Tracker Ring,WH12,A,3,87.72,0.03,0.03,0.03,0.83,15,2.0,2.0,13.0,Low,Medium,0.0,WH06,MONITOR
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH01,C,4,101.68,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH02,C,6,152.52,0.0,0.0,0.0,0.44,24,1.0,1.0,5.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH03,C,3,76.26,0.01,0.01,0.01,0.0,24,0.0,0.0,9.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH04,C,4,101.68,0.01,0.01,0.01,0.36,24,1.0,1.0,9.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH05,C,5,127.1,0.02,0.02,0.02,0.19,24,1.0,1.0,11.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH06,C,4,101.68,0.01,0.01,0.01,0.4,24,1.0,1.0,10.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH07,C,3,76.26,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH08,C,5,127.1,0.01,0.01,0.01,0.4,24,1.0,1.0,10.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH09,C,2,50.84,0.01,0.01,0.01,0.32,24,1.0,1.0,10.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH10,C,6,152.52,0.0,0.0,0.0,0.3,24,1.0,1.0,0.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH11,C,2,50.84,0.0,0.0,0.0,0.27,24,1.0,1.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
