product_id,sku,product_name,category,subcategory,brand,unit_cost,selling_price,supplier_id,standard_lead_time_days,minimum_order_quantity,shelf_life_days,is_seasonal,launch_date,product_status,total_net_sales,total_units_sold,ABC_class,fast_moving_flag,slow_moving_flag,high_value_flag
P00001,HOM-00001-5270,Timbercrest X200 Stock Pot,Home & Kitchen,Cookware,Timbercrest,6.61,10.99,SUP026,32,398,,False,2025-10-03,Active,1425.89,137,C,0,0,0
P00002,HOM-00002-9258,Harborlight Elite Comforter,Home & Kitchen,Bedding & Linens,Harborlight,85.45,188.99,SUP176,52,85,,False,2025-06-06,Active,58564.13,331,A,1,0,1
P00003,BEA-00003-5891,Ostrom Advanced Styling Cream,Beauty,Haircare,Ostrom,9.76,21.99,SUP018,49,331,146.0,False,2025-12-25,Active,11002.12,535,A,1,0,0
P00004,HOM-00004-5980,Willowbrook Deluxe Shelving Unit,Home & Kitchen,Storage & Organization,Willowbrook,5.01,7.99,SUP194,3,399,,False,2025-06-14,Active,3322.87,455,B,1,0,0
P00005,ELE-00005-8377,Sunneva Max Sleep Tracker Ring,Electronics,Wearable Tech,Sunneva,29.24,45.99,SUP159,15,133,,False,2024-04-24,Active,13862.13,322,A,1,0,0
P00006,ELE-00006-4155,Fernwood Pro Screen Protector 2-Pack,Electronics,Mobile Accessories,Fernwood,25.42,46.99,SUP211,24,166,,False,2025-01-07,Active,1976.15,44,C,0,0,0
P00007,PER-00007-4146,Ashford Pro Smart Scale,Personal Care,Health Monitoring,Ashford,1.92,3.99,SUP215,14,592,545.0,False,2026-06-19,Active,6473.54,1741,B,1,0,0
P00008,ELE-00008-7712,NorthPoint Everyday Plus Smart Plug,Electronics,Smart Home Devices,NorthPoint,115.29,194.99,SUP028,52,50,,False,2026-01-21,Active,9131.1,50,A,0,0,1
P00009,ELE-00009-3199,Vaultis Elite Camera Backpack,Electronics,Cameras & Accessories,Vaultis,12.8,27.99,SUP068,29,217,,False,2024-11-16,Active,8340.0,319,A,1,0,0
P00010,BEA-00010-8452,Sunneva Compact Body Wash,Beauty,Bath & Body,Sunneva,4.93,12.99,SUP060,27,521,289.0,False,2026-04-28,Active,3795.93,316,B,1,0,0
P00011,HOM-00011-5938,BlueStone Ultra Pillow 2-Pack,Home & Kitchen,Bedding & Linens,BlueStone,16.96,32.99,SUP171,57,205,,False,2024-01-07,Active,529.67,16,C,0,1,0
P00012,PER-00012-3748,Ironclad Ultra Blood Pressure Monitor,Personal Care,Health Monitoring,Ironclad,8.47,15.99,SUP064,12,335,251.0,False,2025-05-01,Active,1237.46,84,C,0,0,1
P00013,PER-00013-9478,Crestmark Everyday Whitening Kit,Personal Care,Oral Care,Crestmark,3.5,6.99,SUP152,10,516,213.0,False,2025-12-06,Active,992.29,153,C,0,0,0
P00014,BEA-00014-2306,Palisade Deluxe Shampoo & Conditioner Set,Beauty,Haircare,Palisade,10.2,29.99,SUP117,11,244,209.0,False,2025-09-06,Active,1287.36,46,C,0,0,0
P00015,BEA-00015-8514,Aurelia Essential Eau de Parfum,Beauty,Fragrances,Aurelia,28.84,52.99,SUP164,28,131,434.0,False,2024-06-12,Active,2988.35,61,B,0,0,1
P00016,BEA-00016-5783,Cedarwood Everyday Plus Bath Bomb Set,Beauty,Bath & Body,Cedarwood,11.7,24.99,SUP093,18,174,449.0,True,2024-05-13,Seasonal,16777.21,719,A,1,0,0
P00017,ELE-00017-3188,Glacier Premium Wireless Mouse,Electronics,Laptop Accessories,Glacier,24.2,51.99,SUP274,21,92,,False,2025-11-09,Active,3149.85,64,B,0,0,0
P00018,GRO-00018-6544,Novara Series 2 Breakfast Bar Box,Grocery,Breakfast Foods,Novara,2.68,4.07,SUP288,37,691,116.0,False,2026-06-29,Active,50.43,13,C,0,1,0
P00019,ELE-00019-9591,Harborlight Deluxe Action Camera,Electronics,Cameras & Accessories,Harborlight,79.82,156.99,SUP093,17,66,,True,2025-11-27,Seasonal,2932.68,20,B,0,1,1
P00020,ELE-00020-2557,Novara Elite Wireless Mouse,Electronics,Laptop Accessories,Novara,12.08,18.99,SUP274,20,248,,True,2026-02-21,Seasonal,7837.94,441,B,1,0,0
P00021,CLO-00021-5724,Comet X200 High-Waist Jeans,Clothing,Women's Apparel,Comet,22.3,43.99,SUP236,2,159,,False,2026-04-10,Active,10647.47,264,A,1,0,1
P00022,ELE-00022-7365,Comet Premium Wireless Charger,Electronics,Mobile Accessories,Comet,180.88,317.99,SUP052,49,35,,False,2026-05-15,Active,46071.95,154,A,0,0,1
P00023,ELE-00023-4788,Ostrom Deluxe Wireless Earbuds,Electronics,Headphones & Audio,Ostrom,30.11,48.99,SUP159,13,84,,False,2025-12-21,Active,18897.76,415,A,1,0,0
P00024,CLO-00024-3062,Willowbrook Elite Ankle Boots,Clothing,Footwear,Willowbrook,51.85,114.99,SUP102,19,142,,False,2025-12-10,Active,6055.07,56,B,0,0,1
P00025,BEA-00025-3593,UrbanNest Signature Makeup Brush Set,Beauty,Makeup,UrbanNest,14.32,38.99,SUP241,27,185,235.0,True,2025-12-21,Seasonal,1240.52,34,C,0,1,1
P00026,HOM-00026-4746,Glacier Ultra Cookware Set,Home & Kitchen,Cookware,Glacier,4.01,8.99,SUP270,25,355,,False,2024-10-21,Active,495.2,60,C,0,0,0
P00027,ELE-00027-6643,Cedarwood Essential Laptop Sleeve,Electronics,Laptop Accessories,Cedarwood,80.4,163.99,SUP171,45,52,,True,2025-05-07,Seasonal,783.84,6,C,0,1,1
P00028,HOM-00028-6380,Ashford Lite Area Rug,Home & Kitchen,Home Decor,Ashford,22.57,50.99,SUP171,47,94,,False,2024-07-21,Active,2268.52,49,B,0,0,0
P00029,HOM-00029-6209,Lumino Advanced Area Rug,Home & Kitchen,Home Decor,Lumino,10.88,24.99,SUP210,22,291,,False,2025-04-29,Active,6337.08,278,B,1,0,0
P00030,TOY-00030-4271,Ridgeline Max Magnetic Tile Set,Toys,Building Sets,Ridgeline,6.32,13.99,SUP148,29,438,,False,2025-04-11,Active,2098.93,159,B,0,0,0
P00031,PER-00031-8424,Quinley Everyday Plus Electric Toothbrush,Personal Care,Oral Care,Quinley,8.98,16.99,SUP137,54,214,122.0,False,2024-03-03,Active,1067.79,69,C,0,0,1
P00032,BEA-00032-4984,Kestrel Premium Fragrance Gift Set,Beauty,Fragrances,Kestrel,2.42,5.99,SUP159,13,532,390.0,False,2024-03-16,Active,227.15,42,C,0,0,0
P00033,BEA-00033-9232,BlueStone Pro Hair Dryer,Beauty,Haircare,BlueStone,9.69,23.99,SUP245,15,287,161.0,True,2026-05-17,Seasonal,67453.0,3015,A,1,0,0
P00034,SPO-00034-3859,Novara Lite Adjustable Dumbbell Set,Sports,Fitness Equipment,Novara,8.51,13.99,SUP176,41,199,,True,2025-05-18,Seasonal,491.67,38,C,0,1,0
P00035,BOO-00035-7717,Trailhaven Everyday Plus Activity Book,Books,Children's Books,Trailhaven,7.1,10.99,SUP028,54,274,,True,2024-01-30,Seasonal,1328.24,131,C,0,0,0
P00036,HOM-00036-6002,Norwell Deluxe Coffee Maker,Home & Kitchen,Small Appliances,Norwell,35.0,59.99,SUP028,58,127,,False,2024-12-03,Active,21401.61,388,A,1,0,1
P00037,ELE-00037-2664,Ironclad Elite Over-Ear Headphones,Electronics,Headphones & Audio,Ironclad,80.25,110.99,SUP115,42,91,,False,2026-03-23,Active,8272.09,82,A,0,0,1
P00038,BEA-00038-1800,Aurelia Advanced Loofah & Soap Set,Beauty,Bath & Body,Aurelia,6.13,14.99,SUP185,16,472,73.0,False,2025-10-25,Active,705.97,51,C,0,0,0
P00039,CLO-00039-2192,Copperfield Max High-Waist Jeans,Clothing,Women's Apparel,Copperfield,10.59,24.99,SUP109,38,247,,False,2026-01-21,Active,6715.38,286,B,1,0,0
P00040,HOM-00040-5220,Everline Series 2 Area Rug,Home & Kitchen,Home Decor,Everline,17.92,40.99,SUP104,25,147,,False,2025-07-24,Active,307.97,8,C,0,1,0
P00041,GRO-00041-5824,Foundry Everyday Herbal Tea Sampler,Grocery,Beverages,Foundry,5.24,8.99,SUP270,21,412,380.0,False,2025-09-30,Active,7490.31,909,B,1,0,0
P00042,GRO-00042-7072,Ironclad Pro Trail Mix,Grocery,Snacks,Ironclad,3.66,5.99,SUP261,63,297,488.0,True,2024-08-12,Seasonal,709.42,127,C,0,0,0
P00043,GRO-00043-2382,Glacier Elite Hot Sauce Set,Grocery,Condiments & Sauces,Glacier,4.84,8.99,SUP138,18,219,72.0,False,2026-02-06,Active,555.12,67,C,0,0,0
P00044,CLO-00044-2658,Glacier Series 2 Training Jacket,Clothing,Activewear,Glacier,23.97,62.99,SUP210,23,141,,False,2025-10-30,Active,434.9,7,C,0,1,1
P00045,SPO-00045-6553,Vaultis Max Shin Guards,Sports,Team Sports Gear,Vaultis,6.95,12.99,SUP122,14,197,,False,2024-08-06,Discontinued,43.94,4,C,0,1,0
P00046,CLO-00046-6190,Aurelia Essential Running Shoes,Clothing,Footwear,Aurelia,61.21,123.99,SUP171,46,92,,False,2024-10-10,Active,6787.53,58,B,0,0,1
P00047,HOM-00047-2454,Kestrel Classic Sheet Set,Home & Kitchen,Bedding & Linens,Kestrel,53.54,92.99,SUP068,25,86,,False,2025-11-30,Active,79543.03,922,A,1,0,1
P00048,ELE-00048-6242,Trailhaven Essential Laptop Stand,Electronics,Laptop Accessories,Trailhaven,31.91,61.99,SUP148,23,180,,False,2024-08-14,Active,9463.47,167,A,0,0,0
P00049,AUT-00049-3089,Pinnacle Ultra Socket Wrench Set,Automotive,Tools & Equipment,Pinnacle,21.97,38.99,SUP176,54,120,,False,2025-09-02,Active,5505.48,152,B,0,0,0
P00050,CLO-00050-3766,Cedarwood Series 2 Denim Jacket,Clothing,Men's Apparel,Cedarwood,13.48,25.99,SUP117,10,253,,False,2025-01-16,Active,3721.54,157,B,0,0,0
P00051,ELE-00051-1753,Glacier Advanced Lens Filter Set,Electronics,Cameras & Accessories,Glacier,23.78,38.99,SUP218,61,176,,False,2024-09-18,Active,104393.23,2883,A,1,0,0
P00052,GRO-00052-1621,Cedarwood Deluxe Sports Drink Case,Grocery,Beverages,Cedarwood,2.79,4.2,SUP068,28,734,503.0,False,2024-05-23,Active,177.41,45,C,0,0,0
P00053,TOY-00053-8533,Driftwood Deluxe Counting Puzzle,Toys,Educational Toys,Driftwood,13.7,22.99,SUP008,19,227,,False,2025-10-20,Active,15494.16,725,A,1,0,0
P00054,TOY-00054-9611,Driftwood Elite Construction Blocks,Toys,Building Sets,Driftwood,23.61,55.99,SUP274,22,201,,False,2024-10-23,Active,1467.29,29,C,0,1,1
P00055,AUT-00055-6305,Timbercrest Max Tire Inflator,Automotive,Tire & Wheel Care,Timbercrest,5.01,8.99,SUP099,18,326,,False,2025-05-22,Active,384.27,48,C,0,0,0
P00056,BOO-00056-1875,Brightline Elite Popular Science Paperback,Books,Non-Fiction,Brightline,4.39,6.99,SUP060,34,254,,False,2024-08-24,Active,464.91,72,C,0,0,0
P00057,BEA-00057-4117,Harborlight Pro Facial Moisturizer,Beauty,Skincare,Harborlight,4.59,13.99,SUP138,18,360,388.0,False,2024-05-14,Active,1333.36,103,C,0,0,0
P00058,BEA-00058-4175,Novara Premium Styling Cream,Beauty,Haircare,Novara,7.27,13.99,SUP058,8,349,78.0,False,2024-01-20,Active,2635.48,201,B,0,0,0
P00059,HOM-00059-4569,Kestrel Premium Storage Bin Set,Home & Kitchen,Storage & Organization,Kestrel,12.89,21.99,SUP211,28,175,,False,2026-05-06,Active,165.23,8,C,0,1,0
P00060,SPO-00060-2655,Sunneva Compact Hiking Backpack,Sports,Outdoor Recreation,Sunneva,7.11,11.99,SUP077,20,213,,False,2024-10-01,Active,2196.73,193,B,0,0,0
P00061,BOO-00061-2211,Driftwood Compact Picture Book,Books,Children's Books,Driftwood,5.37,9.99,SUP295,17,238,,False,2025-06-09,Active,457.33,49,C,0,0,0
P00062,HOM-00062-9285,Quinley Classic Electric Kettle,Home & Kitchen,Small Appliances,Quinley,5.03,7.99,SUP068,34,382,,False,2025-03-01,Active,407.49,56,C,0,0,0
