supplier_id,supplier_name,supplier_region,country,supplier_type,quality_rating,reliability_score,payment_terms_days,average_lead_time_days,on_time_delivery_rate,defect_rate,capacity_units_per_month,supplier_status,completed_po_count,late_po_count,partial_po_count,actual_late_delivery_rate,partial_delivery_rate,late_delivery_flag,quality_risk_flag,supplier_risk_score
SUP001,Jasperline Industries,Europe,Germany,Manufacturer,4,79.3,45,10,0.9275,0.0208,14770,Active,96,7,14,0.07291666666666667,0.14583333333333334,0,0,16.82
SUP002,Delta Holdings,South Asia,India,Manufacturer,4,80.6,30,39,0.9568,0.0057,3352,Active,0,0,0,0.0,0.0,0,0,10.83
SUP003,Rockford Fabrication,Europe,Italy,Manufacturer,5,96.3,60,7,0.992,0.0065,43940,Active,194,3,12,0.015463917525773196,0.061855670103092786,0,0,3.17
SUP004,Crestmark Inc.,North America,Mexico,Manufacturer,4,77.0,45,11,0.9229,0.0154,36826,Active,60,6,4,0.1,0.06666666666666667,0,0,16.68
SUP005,Coral Bay Components,East Asia,China,Manufacturer,4,77.5,45,35,0.9447,0.0191,56456,Active,222,13,21,0.05855855855855856,0.0945945945945946,0,0,16.29
SUP006,Cedarwood Inc.,Middle East,Turkey,Contract Packager,3,53.8,90,43,0.8793,0.0293,6386,Active,66,6,11,0.09090909090909091,0.16666666666666666,0,0,30.57
SUP007,Everline Inc.,North America,Canada,Manufacturer,4,75.2,30,20,0.9376,0.0165,62428,Active,99,8,9,0.08080808080808081,0.09090909090909091,0,0,16.84
SUP008,Kestrel Corporation,Europe,Germany,Manufacturer,3,56.8,60,19,0.886,0.033,315757,Active,1266,141,160,0.11137440758293839,0.1263823064770932,0,0,30.73
SUP009,Jasperline Enterprises,East Asia,China,Manufacturer,4,78.9,60,26,0.9144,0.0171,32540,Active,31,3,7,0.0967741935483871,0.22580645161290322,0,0,16.7
SUP010,Timbergate Ltd.,South Asia,India,Manufacturer,4,67.4,30,46,0.8659,0.0234,27697,Active,68,6,6,0.08823529411764706,0.08823529411764706,0,0,22.81
SUP011,Vantage Corporation,Southeast Asia,Indonesia,Manufacturer,4,79.8,15,32,0.9673,0.0178,42419,Active,114,2,10,0.017543859649122806,0.08771929824561403,0,0,14.09
SUP012,Kestrel Fabrication,Latin America,Brazil,Manufacturer,5,91.3,30,28,0.9704,0.0069,307794,Active,961,26,80,0.027055150884495317,0.08324661810613944,0,0,5.48
SUP013,Palisade Group,North America,United States,Manufacturer,3,54.1,60,9,0.8173,0.0419,9162,Probation,8,2,1,0.25,0.125,1,0,37.56
SUP014,Cedarwood Components,Europe,Germany,Manufacturer,4,73.5,30,10,0.9025,0.0222,37560,Active,36,4,3,0.1111111111111111,0.08333333333333333,0,0,20.1
SUP015,Foundry Row Inc.,South Asia,India,Distributor,4,66.8,45,35,0.9141,0.0241,11854,Active,13,2,2,0.15384615384615385,0.15384615384615385,0,0,22.94
SUP016,Wrenfield Fabrication,Southeast Asia,Vietnam,Manufacturer,4,74.7,15,31,0.9099,0.0191,15850,Active,14,0,3,0.0,0.21428571428571427,0,0,17.12
SUP017,Cedarwood Inc. (2),North America,United States,Manufacturer,4,69.8,30,14,0.9144,0.0142,28084,Active,99,12,16,0.12121212121212122,0.16161616161616163,0,0,19.07
SUP018,Rockford Supply Co.,East Asia,China,Distributor,4,80.5,45,47,0.9561,0.0191,140003,Active,452,25,47,0.05530973451327434,0.10398230088495575,0,0,15.05
SUP019,Ashgrove Group,Europe,Germany,Manufacturer,5,90.9,30,15,0.9428,0.0075,235894,Active,375,18,35,0.048,0.09333333333333334,0,0,6.75
SUP020,Foundry Row Supply Co.,North America,United States,Manufacturer,5,92.7,60,8,0.9523,0.001,49780,Active,103,5,9,0.04854368932038835,0.08737864077669903,0,0,4.36
SUP021,Crestmark Group,North America,Canada,Manufacturer,4,65.6,30,16,0.8832,0.0299,19282,Active,46,5,8,0.10869565217391304,0.17391304347826086,0,0,24.85
SUP022,Quinlan Corporation,Southeast Asia,Indonesia,Manufacturer,3,40.0,60,56,0.8465,0.0398,522641,Probation,1342,208,178,0.15499254843517138,0.13263785394932937,0,0,39.11
SUP023,Dunmore Components,Middle East,Turkey,Manufacturer,3,47.5,30,50,0.8704,0.0413,18184,Active,22,4,1,0.18181818181818182,0.045454545454545456,0,0,37.04
SUP024,Everline Ltd.,Europe,Poland,Contract Packager,5,96.2,90,13,0.994,0.001,15417,Active,22,0,1,0.0,0.045454545454545456,0,0,1.54
SUP025,Quinlan Ltd.,Europe,Germany,Contract Packager,3,54.7,45,12,0.8626,0.0327,3862,Probation,2,0,0,0.0,0.0,0,0,30.2
SUP026,Wrenfield Group,East Asia,South Korea,Contract Packager,3,67.5,15,32,0.9035,0.0309,148080,Active,279,18,27,0.06451612903225806,0.0967741935483871,0,0,25.86
SUP027,Ironbridge Global,South Asia,India,Manufacturer,4,69.6,15,44,0.9022,0.0279,90534,Active,301,19,26,0.06312292358803986,0.08637873754152824,0,0,21.99
SUP028,Coral Bay Corporation,East Asia,China,Manufacturer,3,64.8,15,50,0.8814,0.029,479489,Active,1032,103,110,0.0998062015503876,0.1065891472868217,0,0,27.27
SUP029,Ivywood Inc.,East Asia,China,Manufacturer,4,78.2,45,31,0.918,0.0197,6015,Active,0,0,0,0.0,0.0,0,0,16.01
SUP030,Novagen Industries,North America,Mexico,Manufacturer,5,96.3,60,8,0.978,0.0078,159038,Active,515,8,52,0.015533980582524271,0.10097087378640776,0,0,3.84
SUP031,Rockford Manufacturing,North America,Canada,Manufacturer,2,24.9,30,23,0.7905,0.0527,32230,Probation,115,26,22,0.22608695652173913,0.19130434782608696,1,1,51.83
SUP032,BlueStone Industries,Middle East,Turkey,Manufacturer,3,46.0,30,48,0.8688,0.0317,75133,Probation,417,51,52,0.1223021582733813,0.12470023980815348,0,0,34.24
SUP033,Kingsford Fabrication,Southeast Asia,Indonesia,Manufacturer,3,70.0,45,51,0.895,0.0266,4470,Active,9,0,2,0.0,0.2222222222222222,0,0,23.28
SUP034,Rockford Fabrication (2),Southeast Asia,Indonesia,Manufacturer,4,88.7,45,49,0.9268,0.0189,160861,Active,601,31,65,0.051580698835274545,0.10815307820299501,0,0,13.22
SUP035,Calderon Industries,South Asia,India,Manufacturer,3,50.9,45,30,0.8414,0.0408,73460,Probation,189,35,25,0.18518518518518517,0.13227513227513227,0,0,36.67
SUP036,Silvertip Industries,East Asia,South Korea,Distributor,4,75.0,30,24,0.9271,0.0187,28432,Active,48,1,8,0.020833333333333332,0.16666666666666666,0,0,16.81
SUP037,Novagen Components,East Asia,China,Manufacturer,4,59.4,45,36,0.8682,0.0389,62435,Active,140,10,13,0.07142857142857142,0.09285714285714286,0,0,28.77
SUP038,Vantage Inc.,South Asia,India,Wholesaler,4,83.3,90,41,0.9756,0.0237,12329,Active,12,0,0,0.0,0.0,0,0,14.04
SUP039,Ashgrove Group (2),Southeast Asia,Vietnam,Manufacturer,4,71.9,30,55,0.8799,0.0267,15270,Active,107,10,13,0.09345794392523364,0.12149532710280374,0,0,22.01
SUP040,Highmoor Corporation,North America,Mexico,Manufacturer,3,48.1,15,20,0.858,0.0395,17449,Probation,86,10,11,0.11627906976744186,0.12790697674418605,0,0,35.74
SUP041,BlueStone Holdings,South Asia,India,Manufacturer,5,83.3,30,57,0.9656,0.0194,3531,Active,1,0,1,0.0,1.0,0,0,10.72
SUP042,Graystone Trading Co.,Europe,Germany,Manufacturer,5,89.3,45,17,0.9522,0.0077,80099,Active,353,16,39,0.0453257790368272,0.11048158640226628,0,0,7.01
SUP043,Graystone Group,North America,Mexico,Manufacturer,4,78.3,30,18,0.9732,0.0218,117047,Active,248,3,20,0.012096774193548387,0.08064516129032258,0,0,15.31
SUP044,Delta Fabrication,Southeast Asia,Vietnam,Manufacturer,5,90.8,60,32,0.9688,0.0021,13273,Active,33,0,5,0.0,0.15151515151515152,0,0,4.07
SUP045,Delta Global,Europe,Germany,Distributor,3,67.9,45,18,0.8984,0.0283,44375,Active,82,16,10,0.1951219512195122,0.12195121951219512,0,0,27.17
SUP046,Wrenfield Trading Co.,Europe,Germany,Manufacturer,5,80.4,45,16,0.9105,0.018,21908,Active,40,4,2,0.1,0.05,0,0,14.12
SUP047,Graystone Corporation,South Asia,India,Manufacturer,3,60.3,45,30,0.8669,0.0301,43370,Active,111,14,19,0.12612612612612611,0.17117117117117117,0,0,29.65
SUP048,Coral Bay Fabrication,Southeast Asia,Vietnam,Contract Packager,4,83.1,30,26,0.9434,0.0125,14448,Active,8,1,0,0.125,0.0,0,0,13.99
SUP049,Timbergate Enterprises,North America,Mexico,Manufacturer,4,73.5,60,17,0.9331,0.0223,10765,Active,9,0,1,0.0,0.1111111111111111,0,0,17.7
SUP050,Marlowe Global,East Asia,China,Distributor,4,91.3,15,57,0.954,0.016,99697,Active,353,12,38,0.0339943342776204,0.10764872521246459,0,0,10.77
SUP051,Ironbridge Manufacturing,East Asia,South Korea,Manufacturer,3,48.6,45,30,0.8767,0.0386,27627,Probation,36,5,5,0.1388888888888889,0.1388888888888889,0,0,35.24
SUP052,Cedarwood Holdings,East Asia,China,Manufacturer,4,83.5,60,56,0.947,0.0128,304195,Active,832,45,82,0.054086538461538464,0.0985576923076923,0,0,12.79
SUP053,Marlowe Trading Co.,Europe,Germany,Manufacturer,5,95.7,45,13,0.9708,0.0066,31359,Active,88,1,4,0.011363636363636364,0.045454545454545456,0,0,3.84
SUP054,Crestmark Manufacturing,North America,United States,Manufacturer,2,27.0,60,14,0.8222,0.0586,10250,Inactive,14,2,3,0.14285714285714285,0.21428571428571427,0,1,50.64
SUP055,Amberton Trading Co.,North America,Mexico,Distributor,2,22.4,30,13,0.7903,0.0599,121903,Inactive,222,39,24,0.17567567567567569,0.10810810810810811,0,1,53.63
SUP056,Kestrel Group,Europe,Germany,Manufacturer,5,87.2,60,7,0.9538,0.0099,61416,Active,150,6,12,0.04,0.08,0,0,8.07
SUP057,Foundry Row Corporation,South Asia,India,Manufacturer,3,53.6,45,45,0.8653,0.0393,68590,Active,114,17,11,0.14912280701754385,0.09649122807017543,0,0,34.35
SUP058,Harborlight Ltd.,North America,United States,Manufacturer,3,66.5,45,9,0.8735,0.0268,116914,Active,423,46,41,0.10874704491725769,0.09692671394799054,0,0,26.54
SUP059,Wrenfield Ltd.,East Asia,China,Wholesaler,2,34.1,15,54,0.8305,0.0484,14035,Probation,10,4,1,0.4,0.1,1,1,49.61
SUP060,Wrenfield Holdings,East Asia,China,Wholesaler,4,63.9,30,29,0.8825,0.0309,25685,Active,16,0,5,0.0,0.3125,0,0,23.99
SUP061,Everline Manufacturing,North America,Mexico,Contract Packager,4,84.3,45,17,0.9394,0.0183,24412,Active,3308,195,333,0.05894800483675937,0.10066505441354293,0,0,14.18
SUP062,Driftline Enterprises,South Asia,India,Distributor,4,90.4,15,43,0.9682,0.0054,6739,Active,8,0,0,0.0,0.0,0,0,7.52
SUP063,Sterling Corporation,North America,United States,Distributor,5,99.4,45,3,0.995,0.0015,21958,Active,6,0,0,0.0,0.0,0,0,0.68
SUP064,Everline Trading Co.,Europe,Germany,Manufacturer,3,44.4,60,11,0.8154,0.0458,138252,Probation,461,76,54,0.1648590021691974,0.11713665943600868,0,0,40.22
SUP065,Marlowe Components,North America,United States,Wholesaler,4,70.4,60,11,0.8748,0.0244,39063,Active,20,1,2,0.05,0.1,0,0,21.36
SUP066,Foundry Row Components,North America,United States,Manufacturer,4,76.3,30,5,0.9203,0.0204,6324,Active,0,0,0,0.0,0.0,0,0,16.7
SUP067,Silvertip Enterprises,North America,United States,Manufacturer,4,75.2,60,12,0.9381,0.0191,4968,Active,37,2,6,0.05405405405405406,0.16216216216216217,0,0,17.07
SUP068,Ivywood Trading Co.,Southeast Asia,Vietnam,Distributor,4,86.8,15,29,0.9604,0.0143,201691,Active,378,18,37,0.047619047619047616,0.09788359788359788,0,0,11.74
SUP069,Ashgrove Supply Co.,East Asia,China,Manufacturer,4,73.8,30,34,0.8856,0.0236,26799,Active,73,10,5,0.136986301369863,0.0684931506849315,0,0,21.17
SUP070,Dunmore Enterprises,South Asia,India,Manufacturer,4,61.0,60,28,0.8858,0.0278,14122,Active,32,5,4,0.15625,0.125,0,0,26.35
