purchase_order_id,supplier_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,po_status,ordered_units,received_units,unit_cost,purchase_value
PO000001,SUP008,WH12,2026-09-19,2026-10-08,2026-10-08,Received,354,354,9.79,3465.66
PO000002,SUP159,WH05,2026-11-29,2026-12-11,,In Transit,453,0,4.63,2097.39
PO000003,SUP001,WH03,2026-09-30,2026-10-10,2026-10-10,Received,341,341,4.65,1585.65
PO000004,SUP274,WH11,2025-04-18,2025-05-06,2025-05-06,Received,282,282,4.54,1280.28
PO000005,SUP052,WH04,2025-05-15,2025-07-19,2025-07-16,Received,375,375,5.66,2122.5
PO000006,SUP030,WH11,2025-11-09,2025-11-16,2025-11-13,Received,486,486,4.3,2089.8
PO000007,SUP052,WH09,2026-01-08,2026-03-09,2026-03-08,Received,82,82,35.21,2887.22
PO000008,SUP274,WH01,2025-03-02,2025-03-21,2025-03-21,Received,458,458,3.71,1699.18
PO000009,SUP115,WH04,2026-12-26,2027-02-05,,In Transit,303,0,13.68,4145.04
PO000010,SUP115,WH07,2025-07-25,2025-08-31,2025-08-28,Received,533,533,3.59,1913.47
PO000011,SUP064,WH02,2025-10-31,2025-11-11,2025-11-09,Received,350,350,4.52,1582.0
PO000012,SUP061,WH07,2025-08-06,2025-08-22,2025-08-22,Received,5954,5954,9.76,58111.04
PO000013,SUP241,WH04,2025-09-02,2025-09-26,2025-09-23,Received,636,636,1.46,928.56
PO000014,SUP008,WH09,2026-12-01,2026-12-22,,In Transit,268,0,9.74,2610.32
PO000015,SUP021,WH09,2025-09-16,2025-10-02,2025-10-05,Partially Received,529,276,2.8,1481.2
PO000016,SUP115,WH04,2025-10-24,2025-11-26,2025-11-24,Received,378,378,5.44,2056.32
PO000017,SUP201,WH06,2025-02-12,2025-03-02,2025-02-27,Received,833,833,1.93,1607.69
PO000018,SUP134,WH01,2025-10-10,2025-11-03,2025-11-01,Received,139,139,23.29,3237.31
PO000019,SUP171,WH12,2025-10-14,2025-12-08,2025-12-06,Received,1129,1129,7.62,8602.98
PO000020,SUP019,WH03,2025-12-08,2025-12-24,2025-12-23,Received,619,619,3.95,2445.05
PO000021,SUP241,WH06,2025-03-31,2025-04-23,2025-04-20,Received,524,524,1.87,979.88
PO000022,SUP174,WH01,2026-09-30,2026-10-29,2026-10-28,Partially Received,178,147,16.32,2904.96
PO000023,SUP245,WH11,2025-01-31,2025-02-15,2025-02-14,Received,357,357,9.6,3427.2
PO000024,SUP124,WH11,2025-03-10,2025-04-19,2025-04-16,Received,199,199,26.24,5221.76
PO000025,SUP262,WH03,2026-01-04,2026-01-21,2026-01-18,Received,367,367,9.05,3321.35
PO000026,SUP061,WH01,2025-03-07,2025-03-23,2025-03-23,Received,5415,5415,9.39,50846.85
PO000027,SUP082,WH02,2026-03-10,2026-03-22,2026-03-21,Received,526,526,2.36,1241.36
PO000028,SUP150,WH08,2025-11-12,2026-01-03,2026-01-16,Received,149,149,58.24,8677.76
PO000029,SUP008,WH11,2026-10-14,2026-11-04,2026-11-02,Received,295,295,9.56,2820.2
PO000030,SUP022,WH06,2026-04-29,2026-07-01,2026-07-05,Partially Received,255,141,4.4,1122.0
PO000031,SUP037,WH11,2026-10-23,2026-12-04,2026-12-04,Received,198,198,8.16,1615.68
PO000032,SUP006,WH04,2026-05-27,2026-07-05,2026-07-02,Received,221,221,15.95,3524.95
PO000033,SUP274,WH03,2026-06-24,2026-07-12,2026-07-09,Received,257,257,4.35,1117.95
PO000034,SUP058,WH06,2026-02-28,2026-03-08,2026-03-05,Received,267,267,11.91,3179.97
PO000035,SUP061,WH11,2025-06-04,2025-06-20,2025-06-17,Received,11846,11846,9.71,115024.66
PO000036,SUP064,WH08,2025-07-01,2025-07-10,2025-07-08,Received,545,545,5.73,3122.85
PO000037,SUP032,WH06,2026-05-22,2026-07-12,2026-07-09,Received,382,382,3.82,1459.24
PO000038,SUP159,WH06,2026-01-23,2026-02-07,2026-02-06,Received,444,444,6.78,3010.32
PO000039,SUP115,WH06,2026-09-30,2026-11-03,2026-11-03,Received,337,337,10.59,3568.83
PO000040,SUP297,WH08,2026-02-23,2026-04-09,2026-04-08,Received,508,508,5.3,2692.4
PO000041,SUP061,WH10,2025-03-22,2025-04-07,2025-04-04,Received,12880,12880,9.64,124163.2
PO000042,SUP231,WH02,2026-08-08,2026-08-25,2026-09-01,Received,240,240,7.11,1706.4
PO000043,SUP061,WH07,2025-06-27,2025-07-13,2025-07-12,Received,13061,13061,9.78,127736.58
PO000044,SUP052,WH07,2025-09-25,2025-11-24,2025-11-23,Received,874,874,1.88,1643.12
PO000045,SUP061,WH08,2026-03-23,2026-04-08,2026-04-07,Received,9806,9806,9.26,90803.56
PO000046,SUP074,WH01,2026-08-16,2026-09-08,2026-09-08,Received,276,276,15.59,4302.84
PO000047,SUP073,WH04,2025-12-19,2026-01-13,2026-01-12,Received,91,91,35.33,3215.03
PO000048,SUP061,WH11,2025-02-07,2025-02-23,2025-02-23,Received,12126,12126,9.65,117015.9
PO000049,SUP061,WH04,2025-08-26,2025-09-11,2025-09-11,Received,11858,11858,9.36,110990.88
PO000050,SUP093,WH07,2026-06-30,2026-07-22,2026-07-21,Received,238,238,6.24,1485.12
PO000051,SUP179,WH01,2025-03-24,2025-04-11,2025-04-11,Received,416,416,5.88,2446.08
PO000052,SUP115,WH04,2026-02-23,2026-04-07,2026-04-06,Received,283,283,8.85,2504.55
PO000053,SUP192,WH09,2026-06-29,2026-08-24,2026-08-22,Received,285,285,19.6,5586.0
PO000054,SUP061,WH10,2025-12-03,2025-12-19,2025-12-19,Received,5166,5166,9.62,49696.92
PO000055,SUP176,WH01,2026-05-27,2026-07-21,2026-07-20,Received,480,480,4.67,2241.6
PO000056,SUP211,WH04,2025-08-09,2025-09-04,2025-10-14,Received,588,588,4.33,2546.04
PO000057,SUP274,WH04,2026-07-21,2026-08-08,2026-08-05,Received,210,210,23.56,4947.6
PO000058,SUP061,WH08,2026-04-24,2026-05-10,2026-05-08,Received,6964,6964,9.5,66158.0
PO000059,SUP032,WH12,2026-07-17,2026-09-03,2026-09-02,Received,754,754,2.51,1892.54
PO000060,SUP247,WH11,2026-07-19,2026-07-24,2026-07-28,Received,387,387,8.49,3285.63
PO000061,SUP159,WH04,2026-08-02,2026-08-16,2026-08-14,Received,117,117,23.56,2756.52
PO000062,SUP104,WH09,2025-10-02,2025-10-25,2025-10-24,Received,277,277,37.55,10401.35
PO000063,SUP290,WH07,2025-12-25,2026-01-26,2026-01-26,Received,293,293,14.69,4304.17
PO000064,SUP159,WH11,2025-10-18,2025-10-30,2025-10-28,Received,588,588,2.66,1564.08
PO000065,SUP116,WH11,2025-06-22,2025-07-06,2025-07-05,Received,267,267,9.67,2581.89
PO000066,SUP195,WH02,2025-09-09,2025-10-21,2025-10-21,Received,249,249,13.42,3341.58
PO000067,SUP247,WH02,2025-06-18,2025-06-25,2025-06-24,Received,148,148,27.26,4034.48
PO000068,SUP028,WH07,2026-11-08,2027-01-04,2027-01-03,Received,237,237,11.86,2810.82
PO000069,SUP192,WH12,2025-06-01,2025-07-27,2025-07-24,Received,255,255,19.26,4911.3
PO000070,SUP215,WH04,2026-11-03,2026-11-15,2026-11-13,Received,129,129,17.83,2300.07
PO000071,SUP012,WH04,2025-03-11,2025-04-12,2025-04-09,Received,174,174,14.87,2587.38
PO000072,SUP061,WH08,2025-05-20,2025-06-05,2025-06-05,Received,11525,11525,9.64,111101.0
PO000073,SUP270,WH08,2025-03-12,2025-04-04,2025-04-01,Received,252,252,18.89,4760.28
PO000074,SUP194,WH08,2026-03-07,2026-03-10,2026-03-09,Received,317,317,10.32,3271.44
PO000075,SUP042,WH02,2026-10-13,2026-10-29,2026-10-28,Partially Received,621,545,52.53,32621.13
PO000076,SUP032,WH11,2026-01-05,2026-02-22,2026-02-22,Received,789,789,2.44,1925.16
PO000077,SUP231,WH08,2026-06-19,2026-07-05,2026-07-02,Received,435,435,6.2,2697.0
PO000078,SUP211,WH10,2025-09-11,2025-10-07,2025-10-04,Partially Received,328,264,4.32,1416.96
PO000079,SUP188,WH02,2025-04-01,2025-04-23,2025-04-23,Received,202,202,10.39,2098.78
PO000080,SUP147,WH10,2026-04-30,2026-05-21,2026-05-18,Received,462,462,5.59,2582.58
PO000081,SUP040,WH08,2025-06-28,2025-07-18,2025-07-16,Received,363,363,12.32,4472.16
PO000082,SUP194,WH12,2026-08-04,2026-08-07,2026-08-07,Partially Received,341,160,10.44,3560.04
PO000083,SUP061,WH02,2025-12-23,2026-01-08,2026-01-08,Received,3128,3128,9.52,29778.56
PO000084,SUP171,WH04,2026-12-10,2027-02-02,,In Transit,486,0,2.43,1180.98
PO000085,SUP194,WH02,2025-04-25,2025-04-28,2025-04-26,Received,517,517,66.98,34628.66
PO000086,SUP064,WH05,2026-07-20,2026-08-02,2026-07-31,Received,817,817,2.22,1813.74
PO000087,SUP115,WH03,2025-12-12,2026-01-27,2026-01-30,Received,285,285,13.56,3864.6
